                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                 1.0774,                 1.9644,                 1.6752,                 1.6534,                0.53498,                0.47639,                 0.5216,                0.36282,                0.54402,                0.45536,                0.50993,                0.37019,                 1.2601,                 1.9666,                 1.6625,                 1.8483,               0.001288,               0.001288,               0.001288
                     90,                  1.059,                 1.9693,                 1.6775,                 1.6323,                0.47651,                0.50313,                0.53448,                0.37743,                0.50918,                0.48157,                 0.5229,                0.37822,                 1.2746,                  1.937,                 1.6549,                 1.8482,               0.001189,               0.001189,               0.001189
                     91,                 1.0338,                 1.9099,                 1.6443,                 1.6209,                0.57797,                 0.4211,                  0.514,                 0.3486,                0.59773,                0.41472,                0.50156,                0.35374,                 1.2865,                 1.9464,                 1.6765,                 1.8753,                0.00109,                0.00109,                0.00109
                     92,                 1.0792,                 1.9558,                 1.6613,                 1.6326,                0.47864,                0.52362,                0.52286,                 0.3662,                0.46673,                0.51106,                0.49611,                 0.3655,                 1.2559,                 1.9367,                 1.6706,                 1.8395,               0.000991,               0.000991,               0.000991
                     93,                 1.0215,                 1.9038,                 1.6348,                 1.6088,                0.44169,                0.50452,                 0.5177,                 0.3619,                0.53342,                0.44634,                0.50258,                0.36498,                 1.2617,                 1.9117,                 1.6634,                 1.8438,               0.000892,               0.000892,               0.000892
                     94,                 1.0265,                 1.9293,                 1.6122,                  1.612,                0.41686,                0.54239,                0.53317,                0.36333,                0.42629,                0.51541,                0.51356,                0.36875,                 1.2896,                 1.9695,                 1.6647,                   1.88,               0.000793,               0.000793,               0.000793
                     95,                 1.0557,                 1.9852,                 1.6593,                  1.622,                0.43435,                0.50799,                 0.5262,                0.36349,                0.42792,                0.49987,                0.51015,                0.35972,                 1.2838,                 1.9582,                 1.6593,                 1.8607,               0.000694,               0.000694,               0.000694
                     96,                 1.0334,                   1.93,                   1.59,                 1.6174,                 0.5331,                0.47464,                0.53744,                0.36147,                0.51358,                0.46327,                0.50877,                0.36017,                 1.2727,                 1.8936,                 1.6615,                 1.8673,               0.000595,               0.000595,               0.000595
                     97,                 1.0361,                 1.9588,                 1.6292,                 1.5916,                0.54421,                 0.4614,                0.53169,                  0.369,                0.57332,                0.44873,                0.51017,                0.37177,                 1.2554,                  1.916,                 1.6372,                 1.8356,               0.000496,               0.000496,               0.000496
                     98,                 1.0492,                 1.9409,                 1.6292,                 1.6191,                 0.5273,                0.52467,                0.54048,                0.36641,                0.50844,                0.50104,                0.50628,                0.37174,                 1.2737,                 1.9065,                 1.6437,                 1.8556,               0.000397,               0.000397,               0.000397
                     99,                 1.0479,                 1.9188,                 1.5927,                 1.6198,                0.53404,                0.47351,                0.54225,                0.37096,                0.52377,                0.46429,                0.51445,                0.36809,                 1.2636,                 1.9149,                 1.6266,                 1.8488,               0.000298,               0.000298,               0.000298
